"","a","b.(Intercept)","b.Tair","b.VPD_gs","b.FertilityLow","c"
"a",14741.6616258617,-12847.0056693833,147.523325515698,-1414.62700329127,-1948.8457550547,119.149570722016
"b.(Intercept)",-12847.0056693833,23672.9228823923,-884.826851273774,-7634.18530063943,-3632.74692674441,-57.2067804650058
"b.Tair",147.523325515698,-884.826851273774,150.380079314389,-382.124304155049,367.272124617987,2.73644133507848
"b.VPD_gs",-1414.62700329127,-7634.18530063943,-382.124304155049,26576.9667782565,-617.478932241984,-26.9158925222032
"b.FertilityLow",-1948.8457550547,-3632.74692674441,367.272124617987,-617.478932241984,6621.35014207172,-38.7131982081056
"c",119.149570722016,-57.2067804650058,2.73644133507848,-26.9158925222032,-38.7131982081056,2.3564569385064
