"","a.(Intercept)","a.Plantationyes","b.(Intercept)","b.Tair","c","d"
"a.(Intercept)",3967.18150199621,-774.737972955901,-2673.12083791557,93.0133475454841,48.5453324801157,10.4329819116336
"a.Plantationyes",-774.737972955901,9988.41836399665,-1200.1715877839,6.56822628578491,-8.7201337463803,-11.1003003263703
"b.(Intercept)",-2673.12083791557,-1200.1715877839,9605.03179191061,-391.334556899996,53.4299733921108,29.8346016020939
"b.Tair",93.0133475454841,6.56822628578491,-391.334556899996,71.9942407814143,2.64273927905452,0.573167037267149
"c",48.5453324801157,-8.7201337463803,53.4299733921108,2.64273927905452,3.10290163937388,0.629385738698531
"d",10.4329819116336,-11.1003003263703,29.8346016020939,0.573167037267149,0.629385738698531,0.357436807947446
