"","Value","Std.Error","DF","t-value","p-value"
"a",55.96025,122.86359,207,0.45547,0.64925
"b.(Intercept)",1273.44354,155.69545,207,8.17907,0
"b.Tair",82.68716,12.40924,207,6.66335,0
"b.VPD_gs",-410.03859,164.96913,207,-2.48555,0.01373
"b.FertilityLow",-479.1752,82.34235,207,-5.8193,0
"c",5.76143,1.55339,207,3.70894,0.00027
