"","a.(Intercept)","a.Tair","a.FertilityLow","a.Plantationyes","b"
"a.(Intercept)",7517.75512202367,-644.084197541347,-3514.39981873206,-3015.72620214248,-19.0503951972096
"a.Tair",-644.084197541347,102.971894972334,262.659074841791,92.9371855733959,-0.354778622140205
"a.FertilityLow",-3514.39981873206,262.659074841791,5061.413874138,1140.75444317545,-5.52258547977849
"a.Plantationyes",-3015.72620214248,92.9371855733959,1140.75444317545,13393.6123852538,12.1878775030705
"b",-19.0503951972096,-0.354778622140205,-5.52258547977849,12.1878775030705,0.359928665861567
