"","Value","Std.Error","DF","t-value","p-value"
"a.(Intercept)",979.11448,87.57119,206,11.18078,0
"a.Tair",28.00208,10.24888,206,2.73221,0.00684
"a.FertilityLow",-534.98756,71.85436,206,-7.44544,0
"a.Plantationyes",-338.76558,116.88696,206,-2.89823,0.00416
"b",2.43699,0.60593,206,4.02186,8e-05
